WKT,name
"POLYGON ((-73.9581454 40.6797245, -73.9620936 40.6982078, -73.9657944 40.6976116, -73.9708584 40.6978069, -73.967511 40.6817318, -73.9581454 40.6797245))",Clinton Hill
"POLYGON ((-73.9708584 40.6978069, -73.9805117 40.6982603, -73.9823356 40.6983904, -73.9826038 40.6936399, -73.9791813 40.6933471, -73.9784947 40.6898003, -73.9815416 40.6898654, -73.9775076 40.6839753, -73.967511 40.6817318, -73.9708584 40.6978069))",Fort Greene
"POLYGON ((-73.9657944 40.6976116, -73.9628362 40.6980714, -73.9620936 40.6982078, -73.9623105 40.7002919, -73.9671599 40.7041961, -73.9683616 40.7067987, -73.9692842 40.7069776, -73.9693057 40.7050582, -73.9674818 40.7040171, -73.9676535 40.7033014, -73.9702498 40.7049443, -73.9700996 40.7052859, -73.9704644 40.7053998, -73.9703357 40.7069451, -73.9705073 40.7072867, -73.9707219 40.7071891, -73.9722454 40.7090434, -73.972696 40.7087831, -73.9710223 40.7068312, -73.9711511 40.7057251, -73.9741766 40.7079373, -73.9745414 40.7076445, -73.9726531 40.7062294, -73.9734685 40.7057414, -73.9744985 40.7061643, -73.9710009 40.7038707, -73.9713656 40.7034478, -73.9721167 40.7039358, -73.9722883 40.7038057, -73.9720952 40.7036918, -73.9723742 40.7033339, -73.972696 40.7034803, -73.9728462 40.7033502, -73.9721596 40.7028459, -73.9726316 40.7025043, -73.9728677 40.702667, -73.9732968 40.7023904, -73.9708292 40.7000316, -73.9710438 40.6998527, -73.9731466 40.7016259, -73.9737045 40.7015283, -73.9732754 40.7010728, -73.9724385 40.7001943, -73.9727818 40.7000967, -73.9735758 40.700845, -73.973962 40.7011704, -73.974241 40.7012355, -73.9744341 40.7010402, -73.974756 40.7005359, -73.9752495 40.6997226, -73.9754855 40.6995273, -73.9758718 40.6995924, -73.9745843 40.7015608, -73.9753568 40.7018862, -73.975507 40.7017072, -73.976022 40.7019675, -73.9753568 40.7029598, -73.9755713 40.7030411, -73.9761936 40.7021139, -73.9769232 40.7028134, -73.9760649 40.7045702, -73.9762794 40.7046841, -73.9771163 40.7030086, -73.9774596 40.7031875, -73.9773523 40.7041635, -73.9779317 40.7042611, -73.9782106 40.7045051, -73.9784038 40.7047979, -73.9786613 40.7049769, -73.9784681 40.7054649, -73.9786183 40.705595, -73.9787471 40.7054649, -73.9792192 40.7055299, -73.9790904 40.7059691, -73.9792835 40.7057089, -73.9802706 40.7058227, -73.9793908 40.704131, -73.9796697 40.7031062, -73.979777 40.7024392, -73.9811289 40.702911, -73.9812179 40.7022156, -73.9847155 40.7023132, -73.9847666 40.7006711, -73.9839109 40.7005075, -73.9838564 40.6998802, -73.9830295 40.6998385, -73.9830494 40.6984374, -73.9805117 40.6982603, -73.9657944 40.6976116))",Brooklyn Navy Yard
"POLYGON ((-73.9775076 40.6839753, -73.9711897 40.6753874, -73.9704172 40.6746063, -73.9698164 40.6726208, -73.9686577 40.6729137, -73.9624779 40.6715792, -73.9642804 40.6809528, -73.9775076 40.6839753))",Prospect Heights
"POLYGON ((-73.9893446 40.6697973, -73.9868125 40.6684984, -73.9837227 40.6671638, -73.9821348 40.6662523, -73.9799032 40.6652107, -73.9773713 40.6640357, -73.9704618 40.6725021, -73.9698164 40.6726208, -73.9704172 40.6746063, -73.9781436 40.6846092, -73.9835945 40.676585, -73.9893446 40.6697973))",Park Slope
"POLYGON ((-73.9893446 40.6697973, -73.9929494 40.6655688, -73.988962 40.6625867, -73.987113 40.6604578, -73.985568 40.659058, -73.9830789 40.6575278, -73.9773713 40.6640357, -73.9893446 40.6697973))",South Slope
"POLYGON ((-74.0083787 40.686235, -74.0121552 40.6841523, -74.0119407 40.6836967, -74.0108249 40.6842499, -74.0097091 40.6830783, -74.0130135 40.6805399, -74.0137431 40.6807026, -74.0134427 40.680963, -74.0140435 40.681744, -74.0121123 40.6828505, -74.0128419 40.6835665, -74.0152451 40.6820044, -74.0179059 40.680605, -74.0191934 40.6796286, -74.0194508 40.6789126, -74.0182063 40.6788475, -74.0181634 40.6780013, -74.0191934 40.6779037, -74.0191504 40.6771226, -74.0197942 40.6771226, -74.0197513 40.6765693, -74.0176484 40.6765367, -74.018335 40.6758858, -74.018378 40.6755928, -74.0187642 40.6751697, -74.0176484 40.6751697, -74.0180776 40.6743886, -74.0172622 40.6735749, -74.0187642 40.6723055, -74.0180776 40.67198, -74.0152022 40.6747791, -74.0146014 40.6743886, -74.0163609 40.6729239, -74.0152022 40.6721102, -74.0134427 40.6736074, -74.0128848 40.6732819, -74.0141293 40.6721427, -74.0137431 40.6717521, -74.0127131 40.6711662, -74.011769 40.6708082, -74.0109965 40.6694736, -74.0104386 40.6694085, -74.0104386 40.6685948, -74.0109107 40.6685622, -74.0122411 40.6656651, -74.0159747 40.6654698, -74.0161034 40.6649815, -74.0167472 40.6651768, -74.0176913 40.6709709, -74.0191504 40.671687, -74.0186784 40.6710686, -74.0182063 40.6677484, -74.0180132 40.6662185, -74.0173909 40.6652094, -74.0160176 40.6646234, -74.0115973 40.6651443, -74.0099666 40.6684971, -74.0066192 40.6686924, -74.0053317 40.6708733, -74.0047738 40.6706454, -74.0059754 40.6680739, -74.0051171 40.6680414, -74.0037009 40.6675206, -74.0029714 40.6674229, -74.0022847 40.6685948, -74.0015122 40.668432, -74.0011689 40.6690179, -74.0003535 40.6686273, -73.9988086 40.6716219, -74.0083787 40.686235))",Red Hook
"POLYGON ((-74.0033423 40.6797403, -73.9987504 40.67258, -73.9965188 40.6774621, -73.9945876 40.6766159, -73.9937507 40.6779015, -73.9923239 40.6795939, -73.9917445 40.6807206, -73.9909344 40.6820204, -73.9896094 40.683906, -73.9942443 40.685761, -73.9952742 40.6837433, -74.0004241 40.6851752, -74.0033423 40.6797403))",Carroll Gardens
"POLYGON ((-73.9942443 40.685761, -73.9893935 40.6838143, -73.9808311 40.680712, -73.978111 40.6848679, -73.9799992 40.6874225, -73.9893333 40.6910508, -73.9901273 40.6896678, -73.9920799 40.6903186, -73.9942443 40.685761))",Boerum Hill
"POLYGON ((-73.9987504 40.67258, -73.9956155 40.6673834, -73.9947572 40.6666998, -73.9929494 40.6655688, -73.9838761 40.6762245, -73.9822571 40.6784764, -73.9808311 40.680712, -73.9896094 40.683906, -73.9909344 40.6820204, -73.9917445 40.6807206, -73.9925385 40.6793335, -73.994137 40.6774784, -73.9945876 40.6766159, -73.9965188 40.6774621, -73.9987504 40.67258))",Gowanus
